Site,SiteID,Year,Size
El Calabozo Fraccion,6,2014,0
IC Crescencio Morales,7,2014,0
E Nicolas Romero,8,2014,0
E El Rosario,9,2014,0.57
E La Mesa,10,2014,0.01
San Juan Xoconusco,11,2014,0
El Capulin,12,2014,0.18
Mesas Altas de Xonconusco,13,2014,0
IC San Pablo Malacatepec,14,2014,0.06
PP San Andres,15,2014,0
Rio de Parras,16,2014,0.03
San Francisco Oxtotilpan,17,2014,0.02
San Antonio Albarranes,18,2014,0.07
San Mateo Almomoloa,19,2014,0.09
E. Contepec,1,2015,0
IC Carpinteros,2,2015,0
Sierra Chincua Fed,3,2015,0
Sierra Chincua State,4,2015,0
E Cerro Prieto,5,2015,0.89
El Calabozo Fraccion,6,2015,0
IC Crescencio Morales,7,2015,0
E Nicolas Romero,8,2015,0
E El Rosario,9,2015,1.09
E La Mesa,10,2015,0
San Juan Xoconusco,11,2015,0
El Capulin,12,2015,0.13
Mesas Altas de Xonconusco,13,2015,0
IC San Pablo Malacatepec,14,2015,0.8
PP San Andres,15,2015,0.25
Rio de Parras,16,2015,0.18
San Francisco Oxtotilpan,17,2015,0.14
San Antonio Albarranes,18,2015,0.3
San Mateo Almomoloa,19,2015,0.23
